asset_id,complaint_count,average_complaint_severity,recent_complaints,inspection_count,average_condition_score,maintenance_count,recent_maintenance,total_maintenance_cost,incident_count,unresolved_incidents,resolved_incidents,rule_based_risk
SG-091,0,0.0,0,1,50.69,0,0,27395,1,0,1,15.86
SG-091,1,0.0,0,0,50.73,0,0,103,0,0,0,11.8
SG-091,0,0.5,0,1,36.27,0,0,16642,0,0,0,12.75
SG-091,0,0.0,0,0,39.77,0,0,3196,0,0,0,10.0
SG-091,0,0.98,0,1,43.95,0,0,0,0,0,0,11.21
SG-091,0,0.0,0,0,55.02,0,0,17909,0,0,0,10.0
SG-091,1,0.46,0,0,37.05,2,0,0,0,0,0,21.73
SG-091,2,1.7,0,0,32.1,0,0,0,0,0,0,20.74
SG-091,0,0.0,0,1,50.1,1,1,0,0,0,0,17.98
SG-091,0,0.53,0,1,53.17,0,1,4697,0,0,0,13.37
SG-091,0,0.0,0,1,59.9,0,1,0,0,0,0,12.02
SG-091,0,1.67,0,0,50.21,0,0,9832,0,0,0,10.0
SG-091,2,0.94,1,0,48.08,0,0,0,0,0,0,17.55
SG-091,0,0.15,0,1,44.65,0,0,0,1,1,0,29.07
SG-091,0,0.0,0,0,43.55,0,0,4399,1,0,1,16.0
SG-091,0,0.0,0,0,54.82,0,1,0,0,0,0,14.0
SG-091,0,0.63,0,2,61.44,0,0,4697,0,0,0,7.71
SG-091,0,0.18,1,1,51.37,0,2,9676,0,0,0,17.73
SG-091,0,0.25,0,0,42.9,0,0,6347,0,0,0,10.0
SG-091,0,0.0,1,0,44.2,0,2,0,0,0,0,18.0
SG-091,0,0.0,0,0,42.3,0,0,0,0,0,0,10.0
SG-091,1,0.0,0,0,54.58,0,1,7135,1,0,1,21.8
SG-091,0,0.74,0,0,51.45,0,0,0,0,0,0,10.0
SG-091,0,0.0,0,1,40.27,0,0,0,0,0,0,11.95
SG-091,1,0.6,0,0,58.21,0,0,0,0,0,0,14.32
SG-091,3,0.04,0,0,54.42,0,1,8177,0,0,0,19.57
SG-091,1,0.12,0,1,47.19,1,0,12765,1,0,1,22.87
SG-091,1,0.39,0,0,43.53,0,1,9747,0,0,0,17.44
SG-091,0,0.51,0,0,55.97,0,1,0,0,0,0,14.0
SG-091,1,0.0,0,0,41.58,0,1,2017,0,0,0,15.8
SG-091,0,2.42,0,0,61.36,0,0,19944,0,0,0,10.0
SG-091,0,1.02,0,0,44.52,0,0,13382,1,0,1,16.0
SG-091,0,0.0,1,0,48.2,0,0,0,0,0,0,10.0
SG-091,1,0.42,0,0,41.43,0,0,3366,0,0,0,13.56
SG-091,1,0.06,0,2,49.77,0,0,0,0,0,0,12.1
SG-091,1,0.58,1,0,60.22,0,0,0,0,0,0,14.24
SG-091,0,0.0,1,2,61.12,0,0,8877,1,0,1,13.78
SG-091,0,0.21,1,0,49.04,1,1,4774,2,0,2,30.0
SG-091,2,0.38,3,0,44.49,0,0,19501,0,0,0,15.2
SG-091,1,0.49,0,1,59.83,1,0,2261,0,0,0,15.89
SG-091,0,0.0,0,0,51.78,0,0,5008,0,0,0,10.0
SG-091,0,0.0,0,0,43.68,1,0,11176,2,0,2,26.0
SG-091,0,0.78,0,1,44.63,0,0,3426,1,0,1,17.07
SG-091,0,0.0,0,1,53.15,0,1,0,0,0,0,13.37
SG-091,2,0.0,1,0,46.72,2,0,0,0,0,0,21.6
SG-091,0,0.0,0,1,50.6,0,0,0,2,0,2,21.88
SG-091,0,0.77,0,0,50.08,0,0,20917,0,0,0,10.0
SG-091,0,0.03,0,0,49.77,0,1,0,0,0,0,14.0
SG-091,0,0.07,0,0,42.53,0,1,4720,1,0,1,20.0
SG-091,2,0.0,2,1,54.62,0,0,0,0,0,0,12.68
SG-091,0,0.79,0,0,45.52,0,0,0,0,0,0,10.0
SG-091,0,0.0,0,0,41.78,0,1,0,0,0,0,14.0
SG-091,0,0.24,0,0,32.51,1,0,0,0,0,0,14.0
SG-091,0,0.0,0,1,57.01,0,0,0,0,0,0,8.6
SG-091,2,0.22,0,0,55.78,0,0,6110,0,0,0,14.52
SG-091,0,0.9,0,0,40.7,0,0,0,0,0,0,10.0
SG-091,0,0.0,0,1,49.34,1,0,2448,0,0,0,14.13
SG-091,2,0.0,1,0,48.68,0,1,3114,0,0,0,17.6
SG-091,1,0.54,0,0,41.97,1,0,0,0,0,0,18.07
SG-091,0,0.0,1,0,65.26,1,0,8181,0,0,0,14.0
SG-091,0,0.0,0,0,50.81,0,0,193,1,0,1,16.0
SG-091,0,0.0,0,0,54.72,2,0,0,0,0,0,18.0
SG-091,0,0.0,1,0,57.89,1,0,0,2,0,2,26.0
SG-091,0,0.0,2,1,44.57,1,0,0,1,0,1,21.09
SG-091,0,0.0,0,0,50.47,0,2,0,0,0,0,18.0
SG-091,2,0.0,0,0,52.59,0,0,0,0,0,0,13.6
SG-063,0,0.76,0,2,61.39,3,1,54291,0,0,0,23.72
SG-063,0,0.0,1,0,67.73,2,1,65829,1,0,1,28.0
SG-063,0,0.22,0,1,75.31,0,0,70566,0,0,0,4.94
SG-063,1,0.2,2,0,66.94,1,0,72090,0,0,0,16.64
SG-063,1,0.19,0,0,71.52,1,0,84902,1,0,1,22.6
SG-063,1,0.0,0,1,81.25,3,0,74288,2,0,2,29.55
SG-063,1,0.0,0,1,71.01,1,0,70433,2,0,2,23.6
SG-063,0,1.15,0,1,75.36,1,0,34839,1,1,0,26.93
SG-063,0,0.56,0,2,64.64,1,1,88422,0,0,0,15.07
SG-063,1,1.08,0,1,73.06,2,0,72492,2,1,1,43.72
SG-063,1,0.03,0,1,66.07,1,0,85640,0,0,0,12.71
SG-063,0,1.39,0,0,62.59,3,0,54363,4,0,4,46.0
SG-063,0,0.0,0,2,81.72,1,0,78704,0,0,0,7.66
SG-063,0,0.0,0,0,69.51,0,0,53803,1,0,1,16.0
SG-063,2,0.0,1,1,66.66,0,0,57595,1,0,1,16.27
SG-063,0,0.69,0,1,68.16,1,0,68959,0,0,0,10.37
SG-063,0,0.0,1,0,87.17,2,1,78815,3,0,3,40.0
SG-063,0,0.0,1,1,69.2,2,0,78865,0,0,0,14.16
SG-063,2,0.07,0,1,61.81,0,0,47594,1,0,1,17.53
SG-063,1,0.21,0,0,66.03,1,1,66723,2,0,2,32.68
SG-063,1,0.0,0,1,72.8,2,0,63259,0,0,0,15.24
SG-063,1,0.0,1,0,62.33,3,1,63131,1,0,1,33.8
SG-063,0,0.0,0,1,68.98,2,0,53616,1,0,1,20.2
SG-063,0,0.0,2,0,63.89,1,0,80238,2,0,2,26.0
SG-063,0,0.0,0,1,65.5,1,1,51268,0,0,0,14.9
SG-063,1,0.18,1,0,81.28,0,0,79620,0,0,0,12.56
SG-063,0,2.0,0,2,76.65,1,0,82413,0,0,0,8.67
SG-063,0,0.0,0,2,65.1,2,0,50239,1,0,1,20.98
SG-063,0,0.86,0,1,67.54,0,0,68162,3,0,3,24.49
SG-063,0,0.0,1,1,76.13,0,0,79508,1,0,1,10.77
SG-063,0,0.38,0,2,63.3,0,2,59777,0,0,0,15.34
SG-063,0,0.0,0,1,68.4,0,2,65997,2,0,2,26.32
SG-063,0,0.0,1,1,73.06,0,0,64661,2,0,2,17.39
SG-063,0,0.0,0,0,54.08,0,0,54155,2,0,2,22.0
SG-063,0,0.0,0,0,66.65,2,1,76576,0,0,0,22.0
SG-063,0,0.0,2,0,65.12,2,0,59245,0,0,0,18.0
SG-063,0,0.42,1,1,60.04,1,0,63477,3,0,3,29.99
SG-063,0,0.13,0,0,58.67,1,1,75866,2,0,2,30.0
SG-063,0,0.19,0,1,70.53,1,0,89661,1,1,0,27.89
SG-063,1,0.0,0,0,60.16,1,1,85070,1,0,1,25.8
SG-063,0,0.05,0,1,83.85,2,1,54916,0,0,0,15.23
SG-063,0,0.35,0,0,76.57,1,0,67302,1,1,0,32.0
SG-063,0,0.58,0,0,55.68,2,1,72392,2,1,1,46.0
SG-063,1,0.0,2,1,63.91,0,0,45274,2,0,2,21.02
SG-063,0,0.0,0,0,65.71,3,1,72821,1,1,0,44.0
SG-063,1,0.0,0,0,75.98,3,0,39100,2,0,2,35.8
SG-063,0,0.44,0,1,61.8,1,0,52914,1,0,1,17.64
SG-063,0,0.0,1,0,63.43,0,0,75639,2,0,2,22.0
SG-063,1,0.14,0,3,55.49,1,0,71749,1,1,0,33.29
SG-063,0,0.0,0,0,70.43,2,0,78617,1,0,1,24.0
SG-063,0,0.0,0,1,68.88,0,0,73776,0,0,0,6.22
SG-063,1,0.0,0,2,69.81,1,0,61058,0,0,0,11.84
SG-063,0,0.77,0,0,63.59,0,0,65686,2,0,2,22.0
SG-063,1,0.57,1,1,75.11,0,1,57512,0,0,0,13.17
SG-063,0,0.0,0,0,49.98,2,1,53730,1,1,0,40.0
SG-063,1,0.1,1,0,67.25,1,0,62699,1,0,1,22.22
SG-063,0,0.56,0,1,64.64,1,0,80116,0,0,0,11.07
SG-063,0,0.0,2,1,76.91,1,0,68951,2,0,2,20.62
SG-063,0,0.0,0,1,72.68,2,0,58018,0,0,0,13.46
SG-063,0,0.34,0,1,71.07,1,1,99441,0,0,0,13.79
SG-063,0,1.12,1,1,67.29,0,1,62833,1,0,1,16.54
SG-063,0,0.0,0,2,80.17,2,1,65282,0,0,0,15.97
SG-063,0,0.0,0,1,62.92,2,0,86675,1,0,1,21.42
SG-063,0,0.01,0,0,62.68,1,0,74274,0,0,0,14.0
SG-063,0,0.0,0,2,53.55,1,2,57656,1,0,1,27.29
SG-063,2,0.0,0,2,72.29,0,0,74731,0,0,0,9.14
SG-063,0,0.0,2,1,59.76,0,0,53047,2,2,0,38.05
SG-063,1,0.0,0,0,83.48,1,2,86952,0,0,0,23.8
SG-063,0,0.0,0,3,58.38,1,1,67979,1,0,1,22.32
SG-063,0,0.36,0,1,78.3,2,0,52064,0,0,0,12.34
SG-063,0,0.0,0,0,53.79,1,0,54393,1,0,1,20.0
SG-063,0,0.52,0,1,71.3,0,0,84272,2,0,2,17.74
SG-063,1,0.0,1,1,75.09,1,0,64256,1,0,1,16.78
SG-063,1,0.0,0,3,61.99,1,0,72568,0,0,0,13.4
SG-063,1,0.0,1,2,75.44,1,3,82342,1,0,1,28.71
SG-063,0,1.0,2,2,73.28,0,0,51117,0,0,0,5.34
SG-063,1,0.63,0,1,59.12,1,0,40754,2,0,2,28.62
SG-063,1,0.78,0,1,61.71,0,0,61596,1,1,0,30.73
SG-063,0,0.27,0,2,69.39,1,0,57588,2,1,1,34.12
SG-063,1,0.0,0,3,67.82,2,0,67428,2,0,2,28.24
SG-063,0,0.0,1,2,79.1,3,0,63768,2,0,2,28.18
SG-063,0,0.0,0,1,66.79,2,1,86086,0,0,0,18.64
SG-063,1,0.0,0,0,67.17,3,2,56926,2,0,2,43.8
SG-063,0,0.28,0,2,75.82,0,1,80136,1,1,0,26.84
SG-063,0,0.14,0,0,66.36,0,0,87503,2,0,2,22.0
SG-063,0,0.21,1,0,66.96,2,0,67217,1,0,1,24.0
SG-063,0,0.1,2,1,69.33,3,0,92680,1,1,0,36.13
SG-063,1,0.21,0,1,67.61,2,0,63694,1,1,0,35.16
SG-063,1,0.0,0,1,79.22,2,0,64409,0,0,0,13.96
SG-063,2,0.0,0,0,69.3,2,0,83989,0,0,0,21.6
SG-063,0,0.51,0,1,68.89,2,0,68418,0,0,0,14.22
SG-063,1,0.9,0,2,77.89,0,1,81036,1,0,1,20.0
SG-063,1,0.0,0,1,72.72,0,0,69345,2,2,0,37.26
SG-063,0,0.22,0,2,59.49,0,0,66964,1,0,1,14.1
SG-063,0,0.0,1,1,76.29,0,0,67537,2,0,2,16.74
SG-063,0,0.0,2,0,61.2,2,0,85334,2,1,1,42.0
SG-063,1,0.0,0,1,59.2,1,1,88085,1,1,0,35.96
SG-063,0,0.0,0,1,69.15,0,0,76642,2,0,2,18.17
SG-063,1,0.0,0,2,73.46,2,2,58427,0,0,0,23.11
SG-063,0,0.0,0,1,73.27,1,0,76023,2,0,2,21.35
SG-063,0,0.0,0,0,67.59,0,0,51336,1,0,1,16.0
SG-063,0,0.01,0,1,63.74,1,0,87387,2,0,2,23.25
SG-063,1,0.45,0,2,65.72,0,0,70951,1,0,1,16.55
SG-063,0,0.43,0,1,69.86,0,0,37945,2,0,2,18.03
SG-063,0,0.26,1,0,66.48,3,2,81428,1,0,1,36.0
SG-063,1,0.0,1,0,65.62,1,0,74715,0,0,0,15.8
SG-063,2,1.74,0,0,60.81,2,1,51505,1,0,1,38.91
SG-063,1,0.0,0,1,76.0,1,0,61547,0,0,0,10.6
SG-063,0,0.34,2,0,62.58,1,0,78651,1,0,1,20.0
SG-063,0,0.12,1,1,70.69,1,0,58259,1,0,1,15.86
SG-063,2,0.94,1,1,66.3,0,0,69379,1,0,1,20.29
SG-063,1,0.0,0,2,73.17,1,0,66603,1,0,1,17.17
SG-063,3,0.13,1,0,63.12,2,0,8308,2,1,1,47.95
SG-063,0,1.06,0,2,66.93,0,0,83651,1,0,1,12.61
SG-063,0,0.0,1,2,76.04,0,0,56495,0,0,0,4.79
SG-063,0,0.0,1,1,62.61,1,0,63481,1,0,1,17.48
SG-063,0,0.17,0,1,75.02,1,0,65468,0,0,0,9.0
SG-063,0,0.27,0,1,64.37,0,0,73207,1,1,0,25.13
SG-063,0,1.33,0,0,59.05,0,2,86647,2,0,2,30.0
SG-063,2,0.0,0,2,72.27,3,0,62600,0,0,0,21.15
SG-063,0,0.8,1,1,59.04,1,1,73858,1,0,1,22.19
SG-063,1,0.0,0,3,54.93,1,0,61709,2,0,2,26.81
SG-063,0,0.56,0,4,68.21,1,0,60609,2,0,2,22.36
SG-063,0,0.02,1,1,64.31,0,0,76993,0,0,0,7.14
SG-063,1,0.79,1,2,71.17,2,0,47586,0,0,0,18.88
SG-063,0,0.23,1,2,60.02,1,0,65440,1,0,1,18.0
SG-063,3,0.4,0,3,64.22,1,0,90467,1,0,1,24.24
SG-063,1,0.41,0,2,87.31,1,0,70321,2,0,2,22.06
SG-063,0,0.0,0,1,66.55,3,1,55596,0,0,0,22.69
SG-063,1,0.02,0,2,59.05,1,2,70793,0,0,0,22.07
SG-063,0,0.0,1,2,64.51,1,0,65961,0,0,0,11.1
SG-063,2,0.33,1,2,73.17,1,0,64341,1,0,1,20.35
SG-063,0,0.0,0,1,51.88,2,1,102386,1,0,1,27.62
SG-063,0,0.15,0,0,65.6,0,1,57519,1,0,1,20.0
SG-063,0,0.0,0,1,78.51,2,1,87667,2,0,2,28.3
SG-063,1,0.75,1,0,60.27,1,1,67710,2,1,1,46.95
SG-063,1,0.84,0,1,62.14,0,0,86016,1,1,0,30.9
SG-063,0,1.71,0,1,56.76,2,0,59200,2,1,1,40.65
SG-063,1,0.0,0,1,73.26,3,0,94859,2,0,2,31.15
SG-063,1,1.19,2,2,67.21,1,1,90766,1,0,1,27.36
SG-063,0,0.0,0,1,80.74,1,0,56231,2,1,1,31.85
SG-063,2,0.14,1,1,71.22,1,0,69873,1,0,1,19.94
SG-063,0,1.2,3,0,56.92,0,0,80183,2,0,2,22.0
SG-063,1,0.0,0,1,54.33,0,0,78392,1,0,1,16.93
SG-063,0,0.0,1,0,76.8,0,1,55915,2,2,0,44.0
SG-063,0,0.49,0,1,65.35,1,0,78615,0,0,0,10.93
SG-063,0,0.0,2,1,82.26,2,0,66844,1,1,0,29.55
SG-063,1,0.12,0,1,77.44,1,0,60323,0,0,0,10.82
SG-063,0,1.05,0,2,47.17,2,0,61452,1,0,1,24.57
SG-063,0,0.65,0,1,59.27,0,0,89943,1,0,1,14.15
